station_cd,station_name,lon,lat
1110101,函館,140.726413,41.773709
1110105,七飯,140.688556,41.886971
1110108,大沼,140.669347,41.971954
1110123,森,140.573846,42.108917
1110138,長万部,140.37507,42.512477
1110314,桑園,141.332036,43.070744
1110317,白石,141.413612,43.054715
1110327,岩見沢,141.759359,43.204201
1110335,滝川,141.900807,43.555278
1110338,深川,142.041642,43.721021
1110342,旭川,142.357803,43.763492
1110416,室蘭,140.97571,42.317864
1110420,東室蘭,141.026411,42.349374
1110434,苫小牧,141.596837,42.639665
1110502,沼ノ端,141.693132,42.672057
1110506,追分,141.810678,42.873316
1110802,東釧路,144.411307,42.995207
1110821,根室,145.582707,43.326923
1110905,新千歳空港,141.680823,42.787546
1110906,南千歳,141.675388,42.80804
1111105,鵡川,141.923892,42.578953
1111214,北海道医療大学,141.54995,43.230925
1111305,石狩沼田,141.934266,43.810032
1111503,新旭川,142.384789,43.780174
1111553,稚内,141.676999,45.416995
